provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
visiting,,visits,http://purl.obolibrary.org/obo/RO_0002618
from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
host of,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
Sitting on,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
resting on,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Visitng,,visits,http://purl.obolibrary.org/obo/RO_0002618
Tended by,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Next to,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
Interspersed,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
feeding on,,eats,http://purl.obolibrary.org/obo/RO_0002470
Collected from,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
